Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1973,NL,West,Los Angeles Dodgers,95,66,,0.59,3.5,
1973,NL,West,San Francisco Giants,88,74,,0.543,11.0,
1973,NL,West,Houston Astros,82,80,,0.506,17.0,
1973,NL,West,Atlanta Braves,76,85,,0.472,22.5,
1973,NL,West,San Diego Padres,60,102,,0.37,39.0,
1974,NL,East,Pittsburgh Pirates,88,74,,0.543,0.0,
1974,NL,East,St. Louis Cardinals,86,75,,0.534,1.5,
1974,NL,East,Philadelphia Phillies,80,82,,0.491,8.0,
1974,NL,East,Montreal Expos,79,82,,0.491,8.5,
1974,NL,East,New York Mets,71,91,,0.438,17.0,
1974,NL,East,Chicago Cubs,66,96,,0.407,22.0,
1974,NL,West,Los Angeles Dodgers,102,60,,0.63,0.0,
1974,NL,West,Cincinnati Reds,98,64,,0.605,4.0,
1974,NL,West,Atlanta Braves,88,74,,0.543,14.0,
1974,NL,West,Houston Astros,81,81,,0.5,21.0,
1974,NL,West,San Francisco Giants,72,90,,0.444,30.0,
1974,NL,West,San Diego Padres,60,102,,0.37,42.0,
1975,NL,East,Pittsburgh Pirates,92,69,,0.571,0.0,
1975,NL,East,Philadelphia Phillies,86,76,,0.531,6.5,
1975,NL,East,New York Mets,82,80,,0.506,10.5,
1975,NL,East,St. Louis Cardinals,82,80,,0.506,10.5,
1975,NL,East,Montreal Expos,75,87,,0.463,17.5,
1975,NL,East,Chicago Cubs,75,87,,0.463,17.5,
1975,NL,West,Cincinnati Reds,108,54,,0.667,0.0,
1975,NL,West,Los Angeles Dodgers,88,74,,0.543,20.0,
1975,NL,West,San Francisco Giants,80,81,,0.497,27.5,
1975,NL,West,San Diego Padres,71,91,,0.438,37.0,
1975,NL,West,Atlanta Braves,67,94,,0.416,40.5,
1975,NL,West,Houston Astros,64,97,,0.398,43.5,
1976,NL,East,Philadelphia Phillies,101,61,,0.623,0.0,
1976,NL,East,Pittsburgh Pirates,92,70,,0.568,9.0,
1976,NL,East,New York Mets,86,76,,0.531,15.0,
1976,NL,East,Chicago Cubs,75,87,,0.463,26.0,
1976,NL,East,St. Louis Cardinals,72,90,,0.444,29.0,
1976,NL,East,Montreal Expos,55,107,,0.34,46.0,
1976,NL,West,Cincinnati Reds,102,60,,0.63,0.0,
1976,NL,West,Los Angeles Dodgers,92,70,,0.568,10.0,
1976,NL,West,Houston Astros,80,82,,0.494,22.0,
1976,NL,West,San Francisco Giants,74,88,,0.457,28.0,
1976,NL,West,San Diego Padres,73,89,,0.451,29.0,
1976,NL,West,Atlanta Braves,70,92,,0.432,32.0,
1977,NL,East,Philadelphia Phillies,101,61,,0.623,0.0,
1977,NL,East,Pittsburgh Pirates,96,66,,0.593,5.0,
1977,NL,East,St. Louis Cardinals,83,79,,0.512,18.0,
1977,NL,East,Chicago Cubs,81,81,,0.5,20.0,
1977,NL,East,Montreal Expos,75,87,,0.463,26.0,
1977,NL,East,New York Mets,64,98,,0.395,37.0,
1977,NL,West,Los Angeles Dodgers,98,64,,0.605,0.0,
1977,NL,West,Cincinnati Reds,88,74,,0.543,10.0,
1977,NL,West,Houston Astros,81,81,,0.5,17.0,
1977,NL,West,San Francisco Giants,75,87,,0.463,23.0,
1977,NL,West,San Diego Padres,69,93,,0.426,29.0,
1977,NL,West,Atlanta Braves,61,101,,0.377,37.0,
1978,NL,East,Philadelphia Phillies,90,72,,0.556,0.0,
1978,NL,East,Pittsburgh Pirates,88,73,,0.547,1.5,
1978,NL,East,Chicago Cubs,79,83,,0.488,11.0,
1978,NL,East,Montreal Expos,76,86,,0.469,14.0,
1978,NL,East,St. Louis Cardinals,69,93,,0.426,21.0,
1978,NL,East,New York Mets,66,96,,0.407,24.0,
1978,NL,West,Los Angeles Dodgers,95,67,,0.586,0.0,
1978,NL,West,Cincinnati Reds,92,69,,0.571,2.5,
1978,NL,West,San Francisco Giants,89,73,,0.549,6.0,
1978,NL,West,San Diego Padres,84,78,,0.519,11.0,
1978,NL,West,Houston Astros,74,88,,0.457,21.0,
1978,NL,West,Atlanta Braves,69,93,,0.426,26.0,
1979,NL,East,Pittsburgh Pirates,98,64,,0.605,0.0,
1979,NL,East,Montreal Expos,95,65,,0.594,2.0,
1979,NL,East,St. Louis Cardinals,86,76,,0.531,12.0,
1979,NL,East,Philadelphia Phillies,84,78,,0.519,14.0,
1979,NL,East,Chicago Cubs,80,82,,0.494,18.0,
1979,NL,East,New York Mets,63,99,,0.389,35.0,
1979,NL,West,Cincinnati Reds,90,71,,0.559,0.0,
1979,NL,West,Houston Astros,89,73,,0.549,1.5,
1979,NL,West,Los Angeles Dodgers,79,83,,0.488,11.5,
1979,NL,West,San Francisco Giants,71,91,,0.438,19.5,
1979,NL,West,San Diego Padres,68,93,,0.422,22.0,
1979,NL,West,Atlanta Braves,66,94,,0.413,23.5,
1980,NL,East,Philadelphia Phillies,91,71,,0.562,0.0,
1980,NL,East,Montreal Expos,90,72,,0.556,1.0,
1980,NL,East,Pittsburgh Pirates,83,79,,0.512,8.0,
1980,NL,East,St. Louis Cardinals,74,88,,0.457,17.0,
1980,NL,East,New York Mets,67,95,,0.414,24.0,
1980,NL,East,Chicago Cubs,64,98,,0.395,27.0,
1980,NL,West,Houston Astros,93,70,,0.571,0.0,
1980,NL,West,Los Angeles Dodgers,92,71,,0.564,1.0,
1980,NL,West,Cincinnati Reds,89,73,,0.549,3.5,
1980,NL,West,Atlanta Braves,81,80,,0.503,11.0,
1980,NL,West,San Francisco Giants,75,86,,0.466,17.0,
1980,NL,West,San Diego Padres,73,89,,0.451,19.5,
1981,NL,East,St. Louis Cardinals,59,43,,0.578,0.0,
1981,NL,East,Montreal Expos,60,48,,0.556,2.0,
1981,NL,East,Philadelphia Phillies,59,48,,0.551,2.5,
1981,NL,East,Pittsburgh Pirates,46,56,,0.451,13.0,
1981,NL,East,New York Mets,41,62,,0.398,18.5,
1981,NL,East,Chicago Cubs,38,65,,0.369,21.5,
1981,NL,West,Cincinnati Reds,66,42,,0.611,0.0,
1981,NL,West,Los Angeles Dodgers,63,47,,0.573,4.0,
1981,NL,West,Houston Astros,61,49,,0.555,6.0,
1981,NL,West,San Francisco Giants,56,55,,0.505,11.5,
1981,NL,West,Atlanta Braves,50,56,,0.472,15.0,
1981,NL,West,San Diego Padres,41,69,,0.373,26.0,
1982,NL,East,St. Louis Cardinals,92,70,,0.568,0.0,
1982,NL,East,Philadelphia Phillies,89,73,,0.549,3.0,
1982,NL,East,Montreal Expos,86,76,,0.531,6.0,
1982,NL,East,Pittsburgh Pirates,84,78,,0.519,8.0,
1982,NL,East,Chicago Cubs,73,89,,0.451,19.0,
1982,NL,East,New York Mets,65,97,,0.401,27.0,
1982,NL,West,Atlanta Braves,89,73,,0.549,0.0,
1982,NL,West,Los Angeles Dodgers,88,74,,0.543,1.0,
1982,NL,West,San Francisco Giants,87,75,,0.537,2.0,
1982,NL,West,San Diego Padres,81,81,,0.5,8.0,
1982,NL,West,Houston Astros,77,85,,0.475,12.0,
1982,NL,West,Cincinnati Reds,61,101,,0.377,28.0,
1983,NL,East,Philadelphia Phillies,90,72,,0.556,0.0,
1983,NL,East,Pittsburgh Pirates,84,78,,0.519,6.0,
1983,NL,East,Montreal Expos,82,80,,0.506,8.0,
1983,NL,East,St. Louis Cardinals,79,83,,0.488,11.0,
1983,NL,East,Chicago Cubs,71,91,,0.438,19.0,
1983,NL,East,New York Mets,68,94,,0.42,22.0,
1983,NL,West,Los Angeles Dodgers,91,71,,0.562,0.0,
1983,NL,West,Atlanta Braves,88,74,,0.543,3.0,
1983,NL,West,Houston Astros,85,77,,0.525,6.0,
1983,NL,West,San Diego Padres,81,81,,0.5,10.0,
1983,NL,West,San Francisco Giants,79,83,,0.488,12.0,
1983,NL,West,Cincinnati Reds,74,88,,0.457,17.0,
1984,NL,East,Chicago Cubs,96,65,,0.596,0.0,
1984,NL,East,New York Mets,90,72,,0.556,6.5,
1984,NL,East,St. Louis Cardinals,84,78,,0.519,12.5,
1984,NL,East,Philadelphia Phillies,81,81,,0.5,15.5,
1984,NL,East,Montreal Expos,78,83,,0.484,18.0,
1984,NL,East,Pittsburgh Pirates,75,87,,0.463,21.5,
1984,NL,West,San Diego Padres,92,70,,0.568,0.0,
1984,NL,West,Houston Astros,80,82,,0.494,12.0,
1984,NL,West,Atlanta Braves,80,82,,0.494,12.0,
1984,NL,West,Los Angeles Dodgers,79,83,,0.488,13.0,
1984,NL,West,Cincinnati Reds,70,92,,0.432,22.0,
1984,NL,West,San Francisco Giants,66,96,,0.407,26.0,
1985,NL,East,St. Louis Cardinals,101,61,,0.623,0.0,
1985,NL,East,New York Mets,98,64,,0.605,3.0,
1985,NL,East,Montreal Expos,84,77,,0.522,16.5,
1985,NL,East,Chicago Cubs,77,84,,0.478,23.5,
1985,NL,East,Philadelphia Phillies,75,87,,0.463,26.0,
1985,NL,East,Pittsburgh Pirates,57,104,,0.354,43.5,
1985,NL,West,Los Angeles Dodgers,95,67,,0.586,0.0,
1985,NL,West,Cincinnati Reds,89,72,,0.553,5.5,
1985,NL,West,San Diego Padres,83,79,,0.512,12.0,
1985,NL,West,Houston Astros,83,79,,0.512,12.0,
1985,NL,West,Atlanta Braves,66,96,,0.407,29.0,
1985,NL,West,San Francisco Giants,62,100,,0.383,33.0,
1986,NL,East,New York Mets,108,54,,0.667,0.0,
1986,NL,East,Philadelphia Phillies,86,75,,0.534,21.5,
1986,NL,East,St. Louis Cardinals,79,82,,0.491,28.5,
1986,NL,East,Montreal Expos,78,83,,0.484,29.5,
1986,NL,East,Chicago Cubs,70,90,,0.438,37.0,
1986,NL,East,Pittsburgh Pirates,64,98,,0.395,44.0,
1986,NL,West,Houston Astros,96,66,,0.593,0.0,
1986,NL,West,Cincinnati Reds,86,76,,0.531,10.0,
1986,NL,West,San Francisco Giants,83,79,,0.512,13.0,
1986,NL,West,San Diego Padres,74,88,,0.457,22.0,
1986,NL,West,Los Angeles Dodgers,73,89,,0.451,23.0,
1986,NL,West,Atlanta Braves,72,89,,0.447,23.5,
1987,NL,East,St. Louis Cardinals,95,67,,0.586,0.0,
1987,NL,East,New York Mets,92,70,,0.568,3.0,
1987,NL,East,Montreal Expos,91,71,,0.562,4.0,
1987,NL,East,Pittsburgh Pirates,80,82,,0.494,15.0,
1987,NL,East,Philadelphia Phillies,80,82,,0.494,15.0,
1987,NL,East,Chicago Cubs,76,85,,0.472,18.5,
1987,NL,West,San Francisco Giants,90,72,,0.556,0.0,
1987,NL,West,Cincinnati Reds,84,78,,0.519,6.0,
1987,NL,West,Houston Astros,76,86,,0.469,14.0,
1987,NL,West,Los Angeles Dodgers,73,89,,0.451,17.0,
1987,NL,West,Atlanta Braves,69,92,,0.429,20.5,
1987,NL,West,San Diego Padres,65,97,,0.401,25.0,
1988,NL,East,New York Mets,100,60,,0.625,0.0,
1988,NL,East,Pittsburgh Pirates,85,75,,0.531,15.0,
1988,NL,East,Montreal Expos,81,81,,0.5,20.0,
1988,NL,East,Chicago Cubs,77,86,,0.475,24.0,
1988,NL,East,St. Louis Cardinals,76,86,,0.469,25.0,
1988,NL,East,Philadelphia Phillies,65,96,,0.404,35.5,
1988,NL,West,Los Angeles Dodgers,94,67,,0.584,0.0,
1988,NL,West,Cincinnati Reds,87,74,,0.54,7.0,
1988,NL,West,San Diego Padres,83,78,,0.516,11.0,
1988,NL,West,San Francisco Giants,83,79,,0.512,11.5,
1988,NL,West,Houston Astros,82,80,,0.506,12.5,
1988,NL,West,Atlanta Braves,54,106,,0.338,39.5,
1989,NL,East,Chicago Cubs,93,69,,0.574,0.0,
1989,NL,East,New York Mets,87,75,,0.537,6.0,
1989,NL,East,St. Louis Cardinals,86,76,,0.531,7.0,
1989,NL,East,Montreal Expos,81,81,,0.5,12.0,
1989,NL,East,Pittsburgh Pirates,74,88,,0.457,19.0,
1989,NL,East,Philadelphia Phillies,67,95,,0.414,26.0,
1989,NL,West,San Francisco Giants,92,70,,0.568,0.0,
1989,NL,West,San Diego Padres,89,73,,0.549,3.0,
1989,NL,West,Houston Astros,86,76,,0.531,6.0,
1989,NL,West,Los Angeles Dodgers,77,83,,0.481,14.0,
1989,NL,West,Cincinnati Reds,75,87,,0.463,17.0,
1989,NL,West,Atlanta Braves,63,97,,0.394,28.0,
1990,NL,East,Pittsburgh Pirates,95,67,,0.586,0.0,
1990,NL,East,New York Mets,91,71,,0.562,4.0,
1990,NL,East,Montreal Expos,85,77,,0.525,10.0,
1990,NL,East,Philadelphia Phillies,77,85,,0.475,18.0,
1990,NL,East,Chicago Cubs,77,85,,0.475,18.0,
1990,NL,East,St. Louis Cardinals,70,92,,0.432,25.0,
1990,NL,West,Cincinnati Reds,91,71,,0.562,0.0,
1990,NL,West,Los Angeles Dodgers,86,76,,0.531,5.0,
1990,NL,West,San Francisco Giants,85,77,,0.525,6.0,
1990,NL,West,San Diego Padres,75,87,,0.463,16.0,
1990,NL,West,Houston Astros,75,87,,0.463,16.0,
1990,NL,West,Atlanta Braves,65,97,,0.401,26.0,
1991,NL,East,Pittsburgh Pirates,98,64,,0.605,0.0,
1991,NL,East,St. Louis Cardinals,84,78,,0.519,14.0,
1991,NL,East,Philadelphia Phillies,78,84,,0.481,20.0,
1991,NL,East,Chicago Cubs,77,83,,0.481,20.0,
1991,NL,East,New York Mets,77,84,,0.478,20.5,
1991,NL,East,Montreal Expos,71,90,,0.441,26.5,
1991,NL,West,Atlanta Braves,94,68,,0.58,0.0,
1991,NL,West,Los Angeles Dodgers,93,69,,0.574,1.0,
1991,NL,West,San Diego Padres,84,78,,0.519,10.0,
1991,NL,West,San Francisco Giants,75,87,,0.463,19.0,
1991,NL,West,Cincinnati Reds,74,88,,0.457,20.0,
1991,NL,West,Houston Astros,65,97,,0.401,29.0,
1992,NL,East,Pittsburgh Pirates,96,66,,0.593,0.0,
1992,NL,East,Montreal Expos,87,75,,0.537,9.0,
1992,NL,East,St. Louis Cardinals,83,79,,0.512,13.0,
1992,NL,East,Chicago Cubs,78,84,,0.481,18.0,
1992,NL,East,New York Mets,72,90,,0.444,24.0,
1992,NL,East,Philadelphia Phillies,70,92,,0.432,26.0,
1992,NL,West,Atlanta Braves,98,64,,0.605,0.0,
1992,NL,West,Cincinnati Reds,90,72,,0.556,8.0,
1992,NL,West,San Diego Padres,82,80,,0.506,16.0,
1992,NL,West,Houston Astros,81,81,,0.5,17.0,
1992,NL,West,San Francisco Giants,72,90,,0.444,26.0,
1992,NL,West,Los Angeles Dodgers,63,99,,0.389,35.0,
1993,NL,East,Philadelphia Phillies,97,65,,0.599,0.0,
1993,NL,East,Montreal Expos,94,68,,0.58,3.0,
1993,NL,East,St. Louis Cardinals,87,75,,0.537,10.0,
1993,NL,East,Chicago Cubs,84,78,,0.519,13.0,
1993,NL,East,Pittsburgh Pirates,75,87,,0.463,22.0,
1993,NL,East,Florida Marlins,64,98,,0.395,33.0,
1993,NL,East,New York Mets,59,103,,0.364,38.0,
1993,NL,West,Atlanta Braves,104,58,,0.642,0.0,
1993,NL,West,San Francisco Giants,103,59,,0.636,1.0,
1993,NL,West,Houston Astros,85,77,,0.525,19.0,
1993,NL,West,Los Angeles Dodgers,81,81,,0.5,23.0,
1993,NL,West,Cincinnati Reds,73,89,,0.451,31.0,
1993,NL,West,Colorado Rockies,67,95,,0.414,37.0,
1993,NL,West,San Diego Padres,61,101,,0.377,43.0,
1994,NL,East,Montreal Expos,74,40,,0.649,0.0,
1994,NL,East,Atlanta Braves,68,46,,0.596,6.0,
1994,NL,East,New York Mets,55,58,,0.487,18.5,
1994,NL,East,Philadelphia Phillies,54,61,,0.47,20.5,
1994,NL,East,Florida Marlins,51,64,,0.443,23.5,
1994,NL,Central,Cincinnati Reds,66,48,,0.579,0.0,
1994,NL,Central,Houston Astros,66,49,,0.574,0.5,
1994,NL,Central,St. Louis Cardinals,53,61,,0.465,13.0,
1994,NL,Central,Pittsburgh Pirates,53,61,,0.465,13.0,
1994,NL,Central,Chicago Cubs,49,64,,0.434,16.5,
1994,NL,West,Los Angeles Dodgers,58,56,,0.509,0.0,
1994,NL,West,San Francisco Giants,55,60,,0.478,3.5,
1994,NL,West,Colorado Rockies,53,64,,0.453,6.5,
1994,NL,West,San Diego Padres,47,70,,0.402,12.5,
1995,NL,East,Atlanta Braves,90,54,,0.625,0.0,
1995,NL,East,New York Mets,69,75,,0.479,21.0,
1995,NL,East,Philadelphia Phillies,69,75,,0.479,21.0,
1995,NL,East,Florida Marlins,67,76,,0.469,22.5,
1995,NL,East,Montreal Expos,66,78,,0.458,24.0,
1995,NL,Central,Cincinnati Reds,85,59,,0.59,0.0,
1995,NL,Central,Houston Astros,76,68,,0.528,9.0,
1995,NL,Central,Chicago Cubs,73,71,,0.507,12.0,
1995,NL,Central,St. Louis Cardinals,62,81,,0.434,22.5,
1995,NL,Central,Pittsburgh Pirates,58,86,,0.403,27.0,
1995,NL,West,Los Angeles Dodgers,78,66,,0.542,0.0,
1995,NL,West,Colorado Rockies,77,67,,0.535,1.0,
1995,NL,West,San Diego Padres,70,74,,0.486,8.0,
1995,NL,West,San Francisco Giants,67,77,,0.465,11.0,
1996,NL,East,Atlanta Braves,96,66,,0.593,0.0,
1996,NL,East,Montreal Expos,88,74,,0.543,8.0,
1996,NL,East,Florida Marlins,80,82,,0.494,16.0,
1996,NL,East,New York Mets,71,91,,0.438,25.0,
1996,NL,East,Philadelphia Phillies,67,95,,0.414,29.0,
1996,NL,Central,St. Louis Cardinals,88,74,,0.543,0.0,
1996,NL,Central,Houston Astros,82,80,,0.506,6.0,
1996,NL,Central,Cincinnati Reds,81,81,,0.5,7.0,
1996,NL,Central,Chicago Cubs,76,86,,0.469,12.0,
1996,NL,Central,Pittsburgh Pirates,73,89,,0.451,15.0,
1996,NL,West,San Diego Padres,91,71,,0.562,0.0,
1996,NL,West,Los Angeles Dodgers,90,72,,0.556,1.0,
1996,NL,West,Colorado Rockies,83,79,,0.512,8.0,
1996,NL,West,San Francisco Giants,68,94,,0.42,23.0,
1997,NL,East,Atlanta Braves,101,61,,0.623,0.0,
1997,NL,East,Florida Marlins,92,70,,0.568,9.0,
1997,NL,East,New York Mets,88,74,,0.543,13.0,
1997,NL,East,Montreal Expos,78,84,,0.481,23.0,
1997,NL,East,Philadelphia Phillies,68,94,,0.42,33.0,
1997,NL,Central,Houston Astros,84,78,,0.519,0.0,
1997,NL,Central,Pittsburgh Pirates,79,83,,0.488,5.0,
1997,NL,Central,Cincinnati Reds,76,86,,0.469,8.0,
1997,NL,Central,St. Louis Cardinals,73,89,,0.451,11.0,
1997,NL,Central,Chicago Cubs,68,94,,0.42,16.0,
1997,NL,West,San Francisco Giants,90,72,,0.556,0.0,
1997,NL,West,Los Angeles Dodgers,88,74,,0.543,2.0,
1997,NL,West,Colorado Rockies,83,79,,0.512,7.0,
1997,NL,West,San Diego Padres,76,86,,0.469,21.0,
1998,NL,East,Atlanta Braves,106,56,,0.654,0.0,
1998,NL,East,New York Mets,88,74,,0.543,18.0,
1998,NL,East,Philadelphia Phillies,75,87,,0.463,31.0,
1998,NL,East,Montreal Expos,65,97,,0.401,41.0,
1998,NL,East,Florida Marlins,54,108,,0.333,52.0,
1998,NL,Central,Houston Astros,102,60,,0.63,0.0,
1998,NL,Central,Chicago Cubs,90,73,,0.552,12.5,
1998,NL,Central,St. Louis Cardinals,83,79,,0.512,19.0,
1998,NL,Central,Cincinnati Reds,77,85,,0.475,25.0,
1998,NL,Central,Milwaukee Brewers,74,88,,0.457,28.0,
1998,NL,Central,Pittsburgh Pirates,69,93,,0.426,29.5,
1998,NL,West,San Diego Padres,98,64,,0.605,0.0,
1998,NL,West,San Francisco Giants,89,74,,0.546,9.5,
1998,NL,West,Los Angeles Dodgers,83,79,,0.512,15.0,
1998,NL,West,Colorado Rockies,77,85,,0.475,21.0,
1998,NL,West,Arizona Diamondbacks,65,97,,0.401,33.0,
1999,NL,East,Atlanta Braves,103,59,,0.636,0.0,
1999,NL,East,New York Mets,97,66,,0.595,6.5,
1999,NL,East,Philadelphia Phillies,77,85,,0.475,26.0,
1999,NL,East,Montreal Expos,68,94,,0.42,35.0,
1999,NL,East,Florida Marlins,64,98,,0.395,39.0,
1999,NL,Central,Houston Astros,97,65,,0.599,0.0,
1999,NL,Central,Cincinnati Reds,96,67,,0.589,1.5,
1999,NL,Central,Pittsburgh Pirates,78,83,,0.484,18.5,
1999,NL,Central,St. Louis Cardinals,75,86,,0.466,21.5,
1999,NL,Central,Milwaukee Brewers,74,87,,0.46,22.5,
1999,NL,Central,Chicago Cubs,67,95,,0.414,30.0,
1999,NL,West,Arizona Diamondbacks,100,62,,0.617,0.0,
1999,NL,West,San Francisco Giants,86,76,,0.531,14.0,
1999,NL,West,Los Angeles Dodgers,77,85,,0.475,23.0,
1999,NL,West,San Diego Padres,74,88,,0.457,26.0,
1999,NL,West,Colorado Rockies,72,90,,0.444,28.0,
2000,NL,East,Atlanta Braves,95,67,,0.586,0.0,
2000,NL,East,New York Mets,94,68,,0.58,1.0,
2000,NL,East,Florida Marlins,79,82,,0.491,15.5,
2000,NL,East,Montreal Expos,67,95,,0.414,28.0,
2000,NL,East,Philadelphia Phillies,65,97,,0.401,30.0,
2000,NL,Central,St. Louis Cardinals,95,67,,0.586,0.0,
2000,NL,Central,Cincinnati Reds,85,77,,0.525,10.0,
2000,NL,Central,Milwaukee Brewers,73,89,,0.451,22.0,
2000,NL,Central,Houston Astros,72,90,,0.444,23.0,
2000,NL,Central,Pittsburgh Pirates,69,93,,0.426,26.0,
2000,NL,Central,Chicago Cubs,65,97,,0.401,30.0,
2000,NL,West,San Francisco Giants,97,65,,0.599,0.0,
2000,NL,West,Los Angeles Dodgers,86,76,,0.531,11.0,
2000,NL,West,Arizona Diamondbacks,85,77,,0.525,12.0,
2000,NL,West,Colorado Rockies,82,80,,0.506,15.0,
2000,NL,West,San Diego Padres,76,86,,0.469,21.0,
2001,NL,East,Atlanta Braves,88,74,,0.543,0.0,
2001,NL,East,Philadelphia Phillies,86,76,,0.531,2.0,
2001,NL,East,New York Mets,82,80,,0.506,6.0,
2001,NL,East,Florida Marlins,76,86,,0.469,12.0,
2001,NL,East,Montreal Expos,68,94,,0.42,20.0,
2001,NL,Central,Houston Astros,93,69,,0.574,0.0,
2001,NL,Central,St. Louis Cardinals,93,69,,0.574,0.0,
2001,NL,Central,Chicago Cubs,88,74,,0.543,5.0,
2001,NL,Central,Milwaukee Brewers,68,94,,0.42,25.0,
2001,NL,Central,Cincinnati Reds,66,96,,0.407,27.0,
2001,NL,Central,Pittsburgh Pirates,62,100,,0.383,31.0,
2001,NL,West,Arizona Diamondbacks,92,70,,0.568,0.0,
2001,NL,West,San Francisco Giants,90,72,,0.556,2.0,
2001,NL,West,Los Angeles Dodgers,86,76,,0.531,6.0,
2001,NL,West,San Diego Padres,79,83,,0.488,13.0,
2001,NL,West,Colorado Rockies,73,89,,0.451,19.0,
2002,NL,East,Atlanta Braves,101,59,,0.631,0.0,
2002,NL,East,Montreal Expos,83,79,,0.512,19.0,
2002,NL,East,Philadelphia Phillies,80,81,,0.497,21.5,
2002,NL,East,Florida Marlins,79,83,,0.488,23.0,
2002,NL,East,New York Mets,75,86,,0.466,26.5,
2002,NL,Central,St. Louis Cardinals,97,65,,0.599,0.0,
2002,NL,Central,Houston Astros,84,78,,0.519,13.0,
2002,NL,Central,Cincinnati Reds,78,84,,0.481,19.0,
2002,NL,Central,Pittsburgh Pirates,72,89,,0.447,24.5,
2002,NL,Central,Chicago Cubs,67,95,,0.414,30.0,
2002,NL,Central,Milwaukee Brewers,56,106,,0.346,41.0,
2002,NL,West,Arizona Diamondbacks,98,64,,0.605,0.0,
2002,NL,West,San Francisco Giants,95,66,,0.59,2.5,
2002,NL,West,Los Angeles Dodgers,92,70,,0.568,6.0,
2002,NL,West,Colorado Rockies,73,89,,0.451,25.0,
2002,NL,West,San Diego Padres,66,96,,0.407,32.0,
2003,NL,East,Atlanta Braves,101,61,,0.623,0.0,
2003,NL,East,Florida Marlins,91,71,,0.562,10.0,
2003,NL,East,Philadelphia Phillies,86,76,,0.531,15.0,
2003,NL,East,Montreal Expos,83,79,,0.512,18.0,
2003,NL,East,New York Mets,66,95,,0.41,34.5,
2003,NL,Central,Chicago Cubs,88,74,,0.543,0.0,
2003,NL,Central,Houston Astros,87,75,,0.537,1.0,
2003,NL,Central,St. Louis Cardinals,85,77,,0.525,3.0,
2003,NL,Central,Pittsburgh Pirates,75,87,,0.463,13.0,
2003,NL,Central,Cincinnati Reds,69,93,,0.426,19.0,
2003,NL,Central,Milwaukee Brewers,68,94,,0.42,20.0,
2003,NL,West,San Francisco Giants,100,61,,0.621,0.0,
2003,NL,West,Los Angeles Dodgers,85,77,,0.525,15.5,
2003,NL,West,Arizona Diamondbacks,84,78,,0.519,16.5,
2003,NL,West,Colorado Rockies,74,88,,0.457,26.5,
2003,NL,West,San Diego Padres,64,98,,0.395,36.5,
2004,NL,East,Atlanta Braves,96,66,,0.593,0.0,88507788.0
2004,NL,East,Philadelphia Phillies,86,76,,0.531,10.0,93219167.0
2004,NL,East,Florida Marlins,83,79,,0.512,13.0,42118042.0
2004,NL,East,New York Mets,71,91,,0.438,25.0,100629303.0
2004,NL,East,Montreal Expos,67,95,,0.414,29.0,43197500.0
2004,NL,Central,St. Louis Cardinals,105,57,,0.648,0.0,75633517.0
2004,NL,Central,Houston Astros,92,70,,0.568,13.0,74666303.0
2004,NL,Central,Chicago Cubs,89,73,,0.549,16.0,91101667.0
2004,NL,Central,Cincinnati Reds,76,86,,0.469,29.0,43067858.0
2004,NL,Central,Pittsburgh Pirates,72,89,,0.447,32.5,32227929.0
2004,NL,Central,Milwaukee Brewers,67,94,,0.416,37.5,27518500.0
2004,NL,West,Los Angeles Dodgers,93,69,,0.574,0.0,89694167.0
2004,NL,West,San Francisco Giants,91,71,,0.562,2.0,82019167.0
2004,NL,West,San Diego Padres,87,75,,0.537,6.0,54639503.0
2004,NL,West,Colorado Rockies,68,94,,0.42,25.0,64590403.0
2004,NL,West,Arizona Diamondbacks,51,111,,0.315,42.0,70204984.0
2005,NL,East,Atlanta Braves,90,72,,0.556,0.0,86457302.0
2005,NL,East,Philadelphia Phillies,88,74,,0.543,2.0,95522000.0
2005,NL,East,Florida Marlins,83,79,,0.512,7.0,60408823.0
2005,NL,East,New York Mets,83,79,,0.512,7.0,101305821.0
2005,NL,East,Washington Nationals,81,81,,0.5,9.0,48581500.0
2005,NL,Central,St. Louis Cardinals,100,62,,0.617,0.0,92106833.0
2005,NL,Central,Houston Astros,89,73,,0.549,11.0,76779000.0
2005,NL,Central,Milwaukee Brewers,81,81,,0.5,19.0,39934833.0
2005,NL,Central,Chicago Cubs,79,83,,0.488,21.0,87032933.0
2005,NL,Central,Cincinnati Reds,73,89,,0.451,27.0,61892583.0
2005,NL,Central,Pittsburgh Pirates,67,95,,0.414,33.0,38133000.0
2005,NL,West,San Diego Padres,82,80,,0.506,0.0,63290833.0
2005,NL,West,Arizona Diamondbacks,77,85,,0.475,5.0,62329166.0
2005,NL,West,San Francisco Giants,75,87,,0.463,7.0,90199500.0
2005,NL,West,Los Angeles Dodgers,71,91,,0.438,11.0,83039000.0
2005,NL,West,Colorado Rockies,67,95,,0.414,15.0,48155000.0
2006,NL,East,New York Mets,97,65,,0.599,0.0,101084963.0
2006,NL,East,Philadelphia Phillies,85,77,,0.525,12.0,88273333.0
2006,NL,East,Atlanta Braves,79,83,,0.488,18.0,90156876.0
2006,NL,East,Florida Marlins,78,84,,0.481,19.0,14998500.0
2006,NL,East,Washington Nationals,71,91,,0.438,26.0,63143000.0
2006,NL,Central,St. Louis Cardinals,83,78,,0.516,0.0,88891371.0
